id,customer_id,last_status,pos_origin,pos_destination,created_at,updated_at,deleted_at
df850270-c107-438d-88b4-37f9ea053b0e,87818de7-d0b5-4124-835a-5107d9bae37c,IN_TRANSIT,Morseberg,Philipland,2023-03-11 04:10:44,2023-05-07 04:10:44,
f9ef7173-543c-4a08-8df0-aa0d63757935,758aceb2-544b-474f-ad59-a7b918e550ab,IN_TRANSIT,Johnsonshire,Lake Mark,2023-07-10 11:48:43,2023-09-24 11:48:43,
0114f3ba-b731-4c0c-945c-e029c467ccd3,12a1b41f-df86-4adc-b4dc-929077ceec28,DONE,Port Judy,Carlabury,2023-01-04 01:19:57,2023-03-12 01:19:57,2023-03-12 01:19:57
8bd88872-b705-4493-959d-ed17f0d48be6,9536fbd3-c087-49b1-a294-1edf28a2f2d6,PENDING,Travismouth,New James,2022-11-12 21:30:08,2023-02-17 21:30:08,
2e7790af-160b-439e-8b92-656009cb9356,a772147b-40dc-4331-8899-1eec81f671ea,DELIVERY,East Gregorystad,Sanchezport,2023-08-23 22:22:48,2023-10-20 22:22:48,
c8386682-f097-40bb-a79f-180dcc151ff8,508e981e-95e4-4cb9-bb69-db6134f41c0b,DONE,Mileshaven,West Brandonburgh,2022-11-23 04:44:29,2022-12-26 04:44:29,2022-12-26 04:44:29
da720867-1298-4344-b27b-a9976db571d4,ee73e08e-6c4e-40c8-bf7c-2ad120734347,PENDING,Joneshaven,Lake Laurenport,2023-09-04 05:19:28,2023-10-28 05:19:28,
986f394b-dd08-4557-9e05-fe410d75e682,5890d5bd-788e-4187-bdb9-ee38c6b455b7,DELIVERY,Port Joshua,Mccartyberg,2023-02-12 15:12:02,2023-05-22 15:12:02,
8f3be795-676d-420d-8ad4-36b89c3a3092,9892c553-c517-4022-9843-66ad219e272f,PENDING,Blackshire,Port Candicechester,2023-09-23 07:40:49,2023-09-26 07:40:49,
25b1696f-92d4-47b4-b290-286cd3ec67fa,b1b99389-5096-462f-8256-8db79933dc1e,DELIVERY,South Joefurt,West Lisa,2023-04-13 00:15:45,2023-07-05 00:15:45,
ea056e22-43d9-4a8c-b31d-81b7de5fc025,a65d01ac-eaf3-4418-9570-439e93f53cc0,PENDING,Hoganburgh,West Heather,2023-09-01 02:24:09,2023-10-17 02:24:09,
51f68d45-9d21-4ae4-8f1a-84387d373d17,d2b5fc48-1c81-4d68-8d87-827f1ae8feee,DONE,Danielborough,Camposchester,2023-10-16 19:44:06,2023-12-23 19:44:06,2023-12-23 19:44:06
876d198f-58fa-402a-bb97-aec2d576c6ae,4bce9a0a-eb18-4e41-8856-3f9660092994,DONE,Lake Catherine,West Bobbyton,2023-06-03 07:38:38,2023-07-17 07:38:38,2023-07-17 07:38:38
f7651f58-8116-4030-b747-e70d7ca92452,584c70bb-b9bb-4b96-b18e-8ab1566dfb90,DONE,West Kevin,Jacobmouth,2023-07-24 13:48:02,2023-09-15 13:48:02,2023-09-15 13:48:02
908dbf16-a0fe-4801-9aa6-468cdb2c8f25,7d6f3aea-e4ce-420f-96b3-760b9681e4da,CREATED,West Brian,Sandrashire,2023-05-19 11:13:26,2023-05-19 11:13:26,
fd8add5a-e7d8-451b-aa38-9bacb3f935c9,2d1229aa-e79f-4139-b956-a4c61125ce4f,IN_TRANSIT,East Sarahhaven,Stephaniechester,2023-03-13 22:46:53,2023-04-14 22:46:53,
49773fd6-ae2a-45f2-b930-e270d69216bc,ec0082fa-af3e-46fc-919c-267511db066e,CREATED,South Andrewstad,Zimmermanborough,2023-08-29 07:39:33,2023-08-29 07:39:33,
